Text,Target
i have watch this movie countless time and never fail to be charm by it homely simplicity sincerity and goodness great characterization by all of the cast and the lovely little steam train that play a such an important supporting role.i confess i fell in love with roberta in and she still touch me today show on tv in new zealand on christmas day the nice present i could have have,positive
if only i have read the review by alex sander sic on here rather than look at the rating of over from a select choice of the ignorant view public i would not have see this desecration alien be a fantastic dramatic and well make horror/scifi predator be a great scifi/action messabout i do really have only myself to blame though a i saw alien versus predator it too have an average grading of over star from the connoisseur of film that frequent this site.stop reading now if you have any fear of this ever so suspense ridden plot be ruin for you.right from the beginning this film be ridiculous no explanation be offer for the predator ship overrun/not overrun by alien ok so maybe they be again go to throw alien down to earth to hunt them and something go wrong but how do this result in an alien/predator hyid and why do the rest of the crew not realise sooner despite their great technology the start be actually the most coherent and interesting part of the film because we have some idea of who be who or what be what and perhaps why from then on it get really ridiculous i always leave my disbelief strictly suspend above the door of the screen before enter and collect it on the way out i couldnt here.a father and son be hunt in the wood the damage ship crash land to from the view give i would calculate at the very least odd mile away through thick woodland the man and boy track there alone and find the ship and get face hug even at this point you feel very little for them mainly because the face hugger be almost comical rather than scary in their movement and action and the father seem like such an irresponsible dumb redneck muppet.an edgy thrillertype scenario be introduce with an excon return to the town near the crash site to be meet by his somewhat emotionless dull now cop friend from the bus when i say introduce i mean a feeble attempt with crap actor and no feeling be play out a slasher/horror element be then introduce with a sexy girl and the usual supposedly nerdy or somehow undesirable cute guy who get beat up by the over protective crazy nasty jock type american sportsman not a scottish man oh the cute/not cute boy be the excons other by the way yes theyre clever these director others whose name i will research in order to avoid any other shite they put out again then a modern role reversal oh so boring attempt at pc ripley credential type character introduction come with a female soldier return home to her husband and child.guess what happen next i wont tell you much more about the actual smile sadly to himself about the demise of storytelling in the large majority of recent film plot just in case you have get this far and be not the ightest star in the alienridden universe.the predator be stupid for the reason state by the previous poster whose post i read too late the alien be bore the predatoralien be ridiculous the action be at time exploitative gratuitous disgust nonsense the hospital scene with the pregnant mother oh i be shock alright shock at how low some people will go to get what a scare some shock to titillate the perverse what if you really want to shock titillate and scare people who be not pregnant or expect father or who have no soul why not just have the alien/predator shag the saucy woman and teenage girl rather than kill them the character have no depth and neither do the plot it film and pace badly it act by disinterested people not that i can blame them it further tarnish two rather interesting and good set of scifi character this film be rubbish and if you gain enjoyment from it i really have to worry about you if you havent see it then well please make your own decision.ps do i even mention the way that train soldier be all kill in about second while amateur civilian survive throughout,negative
even though i saw this film when i be very young i already know the story of wild the thieftaker and shepherd who famously escape from newgate prison.apart from the liberty take right at the end the film more or less faithfully follow the true story the temptation to bend the fact which be the hallmark of so many socalled historical film be resist in this film and the film maker must be praise for that.of the performance there be scarcely a poor performance and tommy steele be ideally cast also good be stanley baker a the thieftaker and alan badel be good a always.because the film stick to the fact it make it suitable to be watch by all the family,positive
go be the wonderful campiness of the original in place be a cgrade action noainer wich be not all bad but pale in comparison to the original all the meaningless sex and violence be go and replace with crappy joke and unexplained plot pointer see it but dont expect the thrill of the first,negative
although most american have little knowledge of his work other than star war alec guinness produce an amazing body of workparticularly in the ssranging from drama to quirky comedy i particularly love his comedy a they be so welldone and seem so natural and real on the screenfar different from the usual fare from hollywood.this be say this be the film that spark my interest in these movie it plot be so odd and cute that it be very unlikely the film would have be make anywhereexcept for ealing studioswhich have a particular fondness for little film like this one.guinness be a nerdy little scientist that work for a textile company he want to experiment in order to create a synthetic faic that be indestructible though he be not work for the company a a researcher but for janitorial work so he tend to sneak into labs either during the day if no one suspect or at night and try his hand at invent repeatedly he be catch such a after he blow up the lab and give the boot until one day he actually succeed then despite the importance of the discovery he set off a completely unanticipated chain of eventsand then the fun begins.the film be a wonderful satire that poke fun at industry union the government and people in general,positive
victor mclaglens performance be one of the fine in film history.i think we can all feel for gypo because weve all struggle with what be right and what isnt and be wrong this be one of the first arthouse picture to be release by a major american movie studio rko radio picture .joseph h. august cinematography be at it very best here however augusts stun portion be mostly overlook he didnt receive the oscar nomination he rightly deserved.this be a psychological drama with thought philosophy sadness all convey with as little word a possible,positive
how do you take a cast of experienced wellknown actor and put together such a stupid movie nimrod antel have the answer armor six coworkers at an armored car business decide to steal a large shipment of cash themselves but just a they get to first base with their plan everything unravels quickly with a plot like this youd think it couldnt be too bad at least for an action movie however in the first minute or more of this movie we see what appear to be normal everyday kind of guy they joke they laugh have a few drink together etc then we suddenly learn theyre planning to rob their own business the hero ty columbus short be suck into the scheme because of the cold cruel world even though he a decorated veteran nice guy and reliable employee oh my oh my then in the last minute of the film these former regular guy nearly all turn into moneycrazed psycho willing to butcher each other for cash in the last scene mike matt dillon go on a suicidal rampage for no other reason than to kill his former friend the viewer have no hint before this end that these men be this ruthless and bloodthirsty it utterly unbelievable and b movie be almost too kind for this sort of cheesy plot i would say dont waste your timetoo bad no one give laurence fishburne jean reno or fred ward the same advice before make this picture,negative
the sexploitation movie era of the late sixty and early seventy begin with the allowance of gratuitous nudity in mainstream film and end with the legalization of hardcore porn it peak year be between and one of the most loved and talented actress of the era be monica gayle who have a small but fanatic cult of follower she be actually able to act unlike many who fill the lead role of these flick and her subsequent credit prove it and her seemingly deliberate fade into obscurity right when her career be take off only heighten her mystique.gary graver the director be also a talent probably too talented for the sexploitation genre and his skill combine with monica gayles screen presence make sandra the making of a woman a pleasantly enjoyable experience the film never drag and you wont have your finger press on the fastforward button,positive
what a surprisingly good movie this one turn out to be this be the type of film that ive be look for age particularly important for me be the fantasticlooking chicago which i still keep think about the back cover doesnt do this film justice it superb and in my top for sure,positive
i do not expect much from this film but boyoboy i do not expect the movie to be this bad chris rock be not show a good act here you cant get the feeling that his caracter be real i think the movie would have be a bit good if it drama or romantic scene would have be a less part of the movie and more/better humor be involve the movie be like the film maker be have a bad hangover make it in the making of they dont show a single smile this be a very bad film i give it three out of ten because of few smile it give me but i do never laugh,negative
i cant believe there be people out there that do not like this movie i think it be the funny movie i have ever see it my have be b/c i be mel brook big fan ... i know almost all the word and get very discourage when they censor them when it be play on a family channel this be one of my favorite movie so i dont know why any one would disagree thanks kristina,neutral
flynn know mostly for his swashbuckling role and his bedroom antic take a different tack with this film and it work beautifully play reallife box champ jim corbett flynn turn on the charm full blast a he make his way from a stifled san francisco bank teller to a celeated pugilist all the while set one eye on society deb smith he and best pal carson attend an illegal bareknuckle fight and be arrest along with score of other men and a dog include a prominent judge the next day he get a chance via smith to gain entrance to the judge private club he use this opportunity to weasel his way into the good grace of it exclusive member and land a spot a the clubs resident boxer his unusually adept skill in the sport soon have him take on all comer up to and include the world champion john l. sullivan bond flynn be downright magical here he be the epitome of charm charisma and appeal in this role he look terrific especially in a hangover scene with his hair muss and wear a white union suit and do virtually all of his own stuntwork impressively his line delivery be delicious and he be credible and sympathetic and at the same time duplicitous and rascally smith exudes class and taste from every pore and be a good match for flynn at this stage he need a female costar who could stand up to his advance and reputation he be undergo statutory rape charge at the time and she do so admirably she be repulse by his freshness and cavalier attitude yet can hardly help but fall under his enchant spell bond be incredibly burly awny and tower yet tender when the script call for it amuse support be provide by a young and ebullient carson frawley be his dependably cantankerous self a flynns manager the rest of the cast be excellent as well include flynns rambunctious family and an assortment of stuffy nob hill type the whole thing be beautifully appoint and securely direct a few of the set be amazingly present some of smiths gown border on the garish but she suit the upswept hairstyle very well it a terrific glimpse into the early day of championship boxing but it also so much more some of it like the character trait show by flynn be enhance or exaggerate for entertainment purpose but a lot of it be authentic like the method and costume show in the fight scenes one line be particularly memorable i believe you like me more than i like you but it entirely possible that i love you more than you love me it classic romantic dialogue and there be more than a few zinger sprinkle throughout the script as well,positive
often laugh out loud funny play on sex family and the class in beverly hill milk more laugh out of the zip code than it see since the day of granny and jed clampett plot center on two chauffers whove bet on which one of them can bed his employer both single or soon to be single lady quite sexy bisset and woronov first if manuel win his friend will pay off his debt to a violent asian street gang if he lose he must play bottom man to his friend lot of raunchy dialogue fairly sick physical humour etc but a lot of the comedy be just beneath the surface bartel be memorable a a very sensual oder member of the family who end up take his sexy teenaged niece on a year long missionary trip to africa.hilarious fun,positive
think provoke humble depiction of the human tragedy of war a small but altruistic view of one family interaction with the enemy during the civil war in kentucky this movie lessen the glamor of war show it effect on not only the soldier but the entire family unit.a lot of today movie show war a an opportunity to highlight the hero and other glamorous feature of war but very little attempt to show the true effect war actually take on a community this movie attempt this through a retelling of a person memory of those day this movie be state to be loose translation of an actual event when in reality this movie be probably a factual reality of hundred perhaps thousand of actual event during the civil war i highly recommend those interested in our civil war to watch this movie,negative
or anyone else have notice the fact that first bunch of episode be inspire too much by s flick i mean seriously wife who be try get someone else to murder his rich husband so she can claim his asset med student who be temporarily stop their heart to reach memory that be lose flatliners bunch of college body get together again to reminisce on the old day but be not fully comfortable because they do something in the past very bad thing groundhog day be one of my all time favorite movie sadly enough the writing staff behind his turd be bunch of lazy bastard who can not come up with their original scripts.noble idea totally fubarred in it execution,negative
elvira mistress of the dark be one of my fav movie it have every thing you would want in a film like great one liner sexy star and a outrageous story if you have not see it you be miss out on one of the great film make i cant wait till her new movie come out,positive
i saw this movie on the hallmark channel and think it be wonderful especially since it be base on a true man pierce brosnan be very good a the loner english man who take on the persona of the half eed grey owl the photography be beautiful.this movie make me do more research into this character archie belaney know simple a grey owl i want to read as much a i can about him at the time i do not know richard attenborough have direct it but i be not surprised i like all his movie whether he be act or direct i give it the high rating however i would have like to have see more in the movie about why he take on this persona a it only show the two aunt who raise him and his room in their house.you cant go wrong with this movie if you be like me and enjoy a beautiful story without hear foul language and contrive special effect every few minute,positive
despite have an absolutely horrid script more about that later this film be still vaguely watchable just because it star two excellent actor barbara stanwyck and henry fonda aside from one or two real stinker id probably watch just about anything with them in the film a i be a huge fan of hollywood golden age of the s and s. however no matter how much i love their film i just cant recommend this film.the movie begin with fonda and stanwyck on vacation at some ski resort the two havent yet meet but the film begin loudly and obnoxiously with a scene in which fonda horribly yodel while ski it be do so unsubtly and make my teeth grind but i stick it outespecially when fonda fell into a snow bank and this stop the yodeling in hindsight perhaps i should have just turn it off then fonda be knock out in the fall and barbara go for help back at the ski lodge he seem okay but fortunately she be also a doctor and have him xrayed and nurse him back to health he in turn becomes infatuate with her and propose to her despite hardly know each other they marry and so far the film seem like a sweet but very slight romantic comedy.once home however all isnt rosy a she jump right back into her job a a family doctor and he begin exhibit sign that he be a control and potentially dangerous man due to his jealousy the film play it all for laugh but frankly fondas behavior be really creepyspying on her and her male patient attack or threaten any man she treat trip a patient who already have a back injury and stomp into a surprise party and insist that everyone there men and woman be out to steal away his wife he come off a a combination of a sociopath and paranoid schizophrenic but it all suppose to be for laughs consider that he seem like a dangerous nut you would think that stanwyck would file for an annulment along with a restrain order but oddly she get mad but just cant stay mad at fonda because he so ........ i cant think of the right wordcreepy be all that come to mind later out of the blue multimillionaire fonda get a job work the counter at a department store then through magical thinking he and babs seem to assume his hostility and violent jealousy be all a thing of the pastso a job apparently cure anger and suspicion when this job fall through the film end with fonda buy his own hospital give barbara a job there and they live happily ever after they dont go any far with the story but i assume base on fonda character that he then spend most of his time a hospital administrator beat up all the male patients.the first portion at the ski lodge and the next do not fit well together nor do the final horatio alger inspire section where the rich boy make good in the business world they be like three separate plot but despite this the most serious problem with the film be it seeming to excuse away domestic violence and delusional jealousy what a creepy little film thank goodness neither fonda nor stanwyck be know for this yechy film but for all their other lovely film,negative
i find the critique of many imdb user a little harsh and in many case find that they crit the movie from a very professional viewpoint and not that of the guy on the street that want to sit and watch something just to get away from it all.in this case however i have to say it be bad i be a scifi junkie and there be nothing in this movie that grab me for even one second.there be no proper storyline i may be an idiot but i still do not know where the government be that be so worried about these pieces.the pathetic attempt by the main character to put together these piece be scary half the time the two piece be already in place and he simply have to add the third a year old kid would have be able to put them together.this movie be bad.dominic,negative
i be debate between this movie and but choose inglourious basterds due to it amazingly high imdb rating i must say now what a disappointment i expect a certain amount of gratuitous violence but i also expect a lot of witty dialog i get a huge dosage of the former but not nearly enough of the latter i felt shortchanged the ratio between violence to plot be very important and i think this movie get it totally wrong and the plot it that believable or really all that entertain either save your time and money i cant believe what this rating say for the gory and violent taste of the modern mass,negative
bend it like beckham be pack with intriguing scene yet have an overall predictable stroy line it be about a girl call jess who be try to achieve her life long dream to become a famous soccer player and finally get the chance when offer a position on a local team there be so many boundary and limit that she face which hold her back yet she be still determine and strives i would recommend it for anyone who like a nice light movie and want to get inspire by what people can achieve the song choice be really good hush my child just move on up ... to your destination and you make boundary and complication anyway hope that be at help to your need in a review bend it like beckham great flick,positive
direct by diane keaton and adapt from a book by franz lidz a young mother selma lidz andie macdowell be battle a very serious illness and her self proclaim inventor husband sid john tururro be a little lacking in the emotion department unhappy with the new home situation their sensitive son steven nathan watt decide he want to stay with his two eccentric uncle danny michael richards and melvin lou cutell until his mom be well steven seem to be happy and even take interest in his strange uncle live habit he even decide he want to change his name to franz set in the early s this drama be a bit comedic ... change that to zany not be a macdowell fan unstrung hero assures my attitude albeit i enjoy the film and it be not a total waste,positive
perhaps the most gripping and intelligent of crooked cop movie be otto premingers where the sidewalk end from a really excellent script by ben hecht base on the novel night cry by frank rosenberg ... dana andrew be the honest tough new york policeman always in trouble with his superior because he like his own strongarm method as much a he detest crook ... when he hit someone his knuckle hurt ... and the man he want to hit be a smooth villain gary merrill who point up the title why be you always try to push me in the gutter he ask andrew i have as much right on the sidewalk a you.dana andrew obsession and neurosis be implant in his hidden painful discovery that he be the son of a thief ... his deep hatred of criminal lead him to use their own illegal method to destroy them and the pursuit of justice become spoil in private vendetta ... by a twist of irony unique to the film itself dana andrew and gene tierney of laura be united once more and andrews now seem to be play the same detective a few year later but no longer the romantic beaten down by his job by the cheap crook ... this time he go too far and accidentally kill a suspect ... the killing be accidental the victim worthless yet it be a crime that he know can eak him or send him to jail ... use his knowledge of police procedure he cover up his part in the crime plant false clue and try to implicate a gang leader but can not avoid investigate the case himself ... the double tension of follow the large case through to it conclusion without implicate himself in the murder be beautifully maintain and the final solution be both logical satisfying and in no way a compromise ... the film be one of the best detective film of the s with curious moral value also one of premingers best ... preminger use a powerful storytelling technique project pretentious camera angle and peculiar touch of the bizarre in order to externalize his suspense in realism ...,negative
in sum overlong and fill with more subplots than swiss cheese have hole the director and cowriter say he want to mix genre in this case drama and comedy well at least here these two mix like vinegar and oil to boot the comedy be not very funny and juvenile additionally the film be not really realistic liberty be take regard the legal system in commit french citizen against their will and the apparent ease of abscond with drug in french hospital i watch this film on my big screen tv at home and find myself shout at the film to move on eventually toward the end i fast forward the final long speech one of the main character make to his exlovers son by that time i be wear out by the preposterous confused plot that deal with a dead lover marriage of convenience and a nutty exlover at time the plot divert to the family of the two main character and then revert back to one of them either ismael or primarily nora to the detriment of the audience viewpoint keep change from nora and ismael her exlover confine against his will in a psychiatric hospital there probably be two potentially interesting film here neither of which be well developed the epilogue do not really wrap up many of the subplots and seem to want the viewer to believe nora somehow will find happiness although give her circumstance in real life the chance be equivalent to a snow ball chance in hell the actor do their best and be appeal but this be not enough to overcome all the glare fault of poor write editing and lack of focus,negative
incomprehensibly dreadful mishmash of the probably most notorious of all roman emperor who go insane leave infamous party orgy and ruthless killing in his path ... i know there be several version of this and this be base on the min one that i watch but i cant fathom how that possibly can make any difference to lift the rest of this movie out of the muck id heard for long about the alleged shocking content of sex/nudity which honestly there isnt much of here at all and bore when there be and blood but beware it the technical production amateurishness that well and truly shock here everything look plain and simply like a junior film school flunk project camerawork be hopelessly inept full of strange zoom fail framing and confuse pan to and from what mostly look like a huge theater stage complete with a grainy cheapish photo quality lighting and color scheme be terrible and uneven be it day or night be they in or outside have they change scene who be or be mean to be in the shot editing be the final sin here make a confusing mess of everything with randomly jumpy cutaway continuity flaw and random transition that destroy any chance of momentum story progression and involvement there be potentially interesting dialog and an equally interesting true historical story ... but these fault distract so much it tragic.a story with so many possibility to be great be just one gargantuan burnt and fellinilike turkey thats only good for a few gobblelaughs and peter otoole who make a most memorable tiberius oh yes which ings u to the bigname actor id like to line them all up one by one and just ask who do you get free access to bonk in the orgy to be a part of this there ive waste enough line on one of the truly bad film of all time period out of from ozjeppe,negative
do anyone edit this film or be it only the dvd release that have huge thirty second gap between scene it ok though i fell asleep watch it the first time then i fell asleep the second time and the third time the plot be actually not the bad ive see but it close the acting be not the bad ive see either ... but it close the production .... well i can honestly say that it be the bad i have ever see in my life not try to be spiteful but unhinged could have use some more production.please dont think im a hater of horror film or even that i didnt enjoy this film i just felt i be laugh at the film much more than i felt i be laugh along with it the gruesome moment be not too poorly do but could have be do well even with a shoestring budget.characters seem awkwardly develop or ignore all together twist end be pretty bad and the exposition take forever without expose much.id recommend avoid this movie./,positive
rid high on the success of rebel without a cause come a tidal wave of teen movie arguably this be one of the best a very young mcarthur excels here a the not really too troubled teen the story concentrate more on perception of delinquency than any traumatic occurrence the support cast be memorable frankenheimer directs like an old pro just a story of a young man that find others take his action much too seriously,positive
most of the comment on this movie be positive so i thought i would try and redress the balance i come out of this movie wonder what be go on i now know and still consider it to be a poor movie i intially discount a dream sequence a that seem too obvious i be glad that i have a free ticket to the movie or i would have ask for my money back movie reviewer and critic love this movie which only confirm to me that most of them would rather sound intelligent than review how an audience may enjoy a film the rating this movie have be so misleading in year time this film will not compare to true great such a the godfather the film do have fine performance from both the lead but that isnt enough to save the film nor be the lesbian scene,positive
pepe le moko play by charles boyer be some sort of international criminal mastermind want in country throughout europe and to stay free he hole himself up in the casbah a mysterious part of algiers where even the police be reluctant to go until a senior officer be send from paris to capture le moko once and for all for le moko although the casbah allow him to remain out of police custody it also become a sort of prison at the same time a place he cant leave because the moment he do he know hell be arrested.boyers performance be good and i can understand why he be nominate for an oscar he capture the essence of such a character a perfect combination of very dangerous and yet very classy at the same time the movie itself unfortunately be quite a letdown a number of part of the story seem inconsistent of which ill mention two first be the idea that the police wouldnt enter the casbah that be state pretty clearly at the beginning of the film by the local commander and yet repeat reference in the movie suggest that in fact the police do enter the casbah fairly regularly so neither the suggestion by commissioner janvier that the police wouldnt enter nor the statement by inspector slimane also a decent performance by joseph calleia that they could get into the casbah but not out seem to make much sense i also find it difficult to believe that le moko harden criminal mastermind that he be could be so quickly sweep off his foot by gaby hedy lamarr to the point where he entertain the local populace by sing love song and then leave the casbah to find her essentially give himself up i understand the irony of the final few scene of course a pepe leave the freedom of his prison the casbah only to find real freedom in his capture because he shot and kill by the police i just find it impossible to believe that someone like le moko would fall into such a trap.this be worth watch for boyer and to a less extent calleia but the story be disappointing and inconsistent,neutral
man with the scream brain certainly isnt a perfect movie but im pretty sure it be never mean to be anything more than a star vehicle for bruce campbell mean it work a kind of a summary of his entire career slapstick sarcasm cheese action and happy ending campbell be a a writer uneventhere be lot of thing in the story that dont make a great deal of sense why do the robot suddenly have east merely because a female ain have be implant into it and some of the scene feel like retread of other good incarnation the scene in the restaurant where yegor and william battle for control of williams body be straight out of evil dead ii there be however lot of little touch and nonsequiturs that feel rather illiant such a when william be in the height of his panic and scream at a statue what be you look at the movie look like a scifi channel original probably because it be the acting be actually pretty good i particularly enjoy tamara gorski a tatoya she be ruthless and cunning yes but seem to have a tragic air about her in certain moment that the story never explore ted raimi handle the standard bumbling assistant role admirably enough and bruce be funny a the arrogant sardonic condescend american jerk now that he write his own film youd think hed give himself a role that he hasnt be typecast in already man with the scream brain be a bizarre nonsensical bmovie that ought to be enjoyable for anybody who can avoid take a cinematic experience too seriously,positive
you should never ever even consider to watch this movie it be absolutely awful this isnt an overstatement it be so unbelievable and exaggerate it get bore it be just a movie where they have take story and plot from several movie and put it together in one they writer hasnt be able to pull it off in a good way.if youd like to see pretty girl in bikini and no ain this might be the movie for you but still you should plug your ear and just watch it not worth listen p there be so many great movie out there and if i could choose one this would be the last movie i would pick but all in all it your choice enjoy,positive
tell the truth iâ€™m a bit stun to see all these positive review by so many people which be also the main reason why i actually decide to see this movie and after have see it i be really a disappointed and this come from the guy that love this genre of movie.iâ€™m surprise at this movie all completely â€ “ it be like a kidâ€™s movie with nudity for absolutely no reason and it all involve little child curse and swear iâ€™m not at all righteous but this have really go too far in my account.synopsis the story about two guy get send to the big other program for their reckless behavior there they meet up with one kid with boobs obsession and the other be a medieval freak.just the name it self be not really connect with the story at all they be not be a role model and or do anything but to serve their time for what they have do the story be very predictable though expect and the humor be lame and havenâ€™t we already see the same character play by mc lovinâ€™ in so many other movie like sasquatch gang i think i laugh thrice and almost fell a sleep.well the casting be alright after all he be the one that produce the screenplay and the acting be soso a expect when youâ€™re watch this type of movie and the direction what do one expect this be the same guy who ought u wet hot american summer and that movie also suck but somehow he always manage to ing in some star to attract his horrendous movie.anyway i felt not total riff off but a completely waste of time only the naked scene seem to be the best part in the movie canâ€™t really see any point why i should recommend this to anyone.pros elizabeth bank two topless scenes.cons not funny dreadful story nudity and kid do not mix together.rating grade f,positive
this film hold my interest enough to watch it several time the plot have hole but the lead performer make it work.catherine mary stewart julia keridge do a great job a a woman of who have sacrifice everything else to become a physician she work year to earn the money to go to medical school she be perform illiantly in her residency and be just about to take her board exam and realize her dream.meanwhile julias sister and otherinlaw be murder and a the near living relative she be compel to take in her niece amanda arlen aguayostewart to avoid have her become a ward of the state amanda be about year old from her appearance amanda be so traumatized from her parent murder that she have become mute needless to say julias hour day get long care for amanda.rob lowe play kevin finney a charming neighbor man in their apartment building who work his way into the life of julia and amanda he be always there with a trick or a joke to help amanda deal with her distress amanda really start to warm up to kevin a the film progress perhaps more than to her aunt julia start to rely on kevin to take some of the load of care for amanda a she attempt to handle her case load and prepare for her board examination kevin be always there whenever some crisis erupts for julia.the chemistry between rob and catherine mary be great you keep watch to see them get together before the end of the film the chemistry between rob and arlen be good as well arlen manage to convey quite a lot without the benefit of word the plot have julia and amanda gradually warm up to each other you can see them work out a relationship a the film progresses.we discover that julias sister and otherinlaw the meyers be involve in industrial espionage they steal an extremely valuable prototype microchip from their employer they have three associate who intend to share the proceeds of the theft julia discovers that the meyers be plan to skip the country under assumed identity the plot be unclear whether the meyers intend to double cross their associate or be themselves double crossed.in any case the meyers be murder in their home by of their former associate the killer make no attempt to extract the location of the microchip from the meyers before kill them the killer search the home and fail to find their prize they leave a living witness to their crime amanda the killer then spend the remainder of the film make clumsy attempt to extract the microchip from julia and amanda who have no idea where the prize be locate eventually the killer kidnap amanda in hope she know something about the microchip location.eventually julia discovers the truth about kevin he be an investigator hire to recover the steal microchip after some rough moment in the relationship they manage to rescue amanda and dispatch the bad guy the predictable end have the three form a family and move happily into a future together.what strike me about the plot be major hole kevin move into the same apartment building a julia and amanda the day after the murder of the meyers how do he know that the microchip be not already in the hand of the killer the killer blithely leave fingerprint at the murder scene with no concern for conceal their identity the killer that pretend to be a psychiatrist be reveal to amanda by the remnant of red paint from the murder scene on his shoe sol he be not show in the murder scene at the start of the film there be other weakness along these line too numerous to mention.the film could have be a lot well if the script have be refine more before film filling in the plot hole would have add little expense and greatly improve the effort,negative
like the previous poster i be from northern vermont and i be incline to like this film however not since red zone cuba have i see such a confusing plot the thing the people to bootleg make no sense two of the gang paddle across the border send a second party across in a car uhm why then they meet two others and drive up at night in to the bad guy hideout in a luxury packard wouldnt just two people in a flatbed truck make more sense then park outside the garage that hold the targeted hooch the four fall asleep when they waken in the morning and and start haul the whiskey out of course theyre spot and shot at lose some of their precious cargo in the process then two of the smuggler put the whiskey in a boat and float it over the border again why i be tell by someone whose great uncle really do smuggle in the area all one need be to drive a vehicle that could outrun than the u.s. canada border patrol which back then have a fraction of the resource it have now and dont get me start on the last half hour which make no sense whatsoever.the only good thing i can say about the film be that kris kristopherson have actually grow some charisma with the year,neutral
may contain spoiler this movie be the bad movie ever i couldnt even watch it all it be so bad this film be actually bad than scarecrow slayer which be say a whole lot this be bad than terror toon which at least terror toon be funny at time not even the gore in the film be good the shooting be fake and the acting be bad please do yourself a favor and skip this one if you see it at the rental store then run the other way there be nothing good about this film at all if you want to see a good scarecrow movie then watch night of the scarecrow or pumpkin head if you want to see an ok new cheesy movie then watch scarecrow i rate this movie a out of thats how horrible this film really be the bad movie ever,negative
watch this last night and be bowl over by the heartfelt story line the excellent character development and the good karmic vibe emanate from the acting and movie a a whole.without give away too much of the plot it begin with an ordinary joe who commute to his office job every day who become inspire to take dance lesson along the way the protagonist and the assorted character he meet in his quest to be smooth on the dance floor learn lesson about others and about themselves the story have a prologue about what dance in japan symbolize sociologically so it isnt exactly as simple to learn to dance in japan a it be here in the u.s. the film be lighthearted youll laugh out loud at some of the sight gag yet it be also dignify in a way hard to describe all of the film character be take seriously a they be and none be diminish because of their imperfections.ive be think about take social dance class with some friend it just so happen a friend lent me the video on learn to dance be this synchronous or what i think so because now im really geeked to give it a try watch this wonderful family film small child might not get it but teens certainly would and smile at the genuine caring you see show in it time and again.why they would make a remake of shall we dance be a mystery a it be perfect asis,positive
recap something mysteriously dense that transmit radio signal be discover in the ice of antarctica the mysterious block be dig out and ought to a research station on antarctica julian rome a former setiworker be ought in to decipher the message problem be that one of the researcher be a old girlfriend of his and the situation quickly turn awkward especially since the other female researcher practically throw themselves at him and the block of ice with the thing inside be melt unnaturally quickly soon the object be in the open the mystery continue though a the object generate a huge amount of electricity it be decide to open the object but just before that be do julian decode the signal do not open but too late and the object explodes a it be finally eached and two thing unleash on earth the first be an alien that have be dormant in the object and the other be a virus that instantly kill the research staff and washington that be suspiciously update on this historic event decides that those thing can not be unleash upon the earth so a russian nuclear submarine carry nuclear weapon be send to antarctica.comments the movie hold a few surprise one be carl lewis who surprisingly put in a good acting performance and the other be that the special effect that be beautiful well work through and a lot good than expect unfortunately the story hold a lot of surprise of it own and this time not in a good way actually it be so full of plot hole that sometimes the movie seem to consist of almost randomly connect scene it be never really explain why washington know so much why washington be able to command russian submarine why the object be in the antarctic and have wake up now it be really puzzle that the alien pod be transmit in understandable english some might want to explain this with that the alien have be to earth before and know the language and obviously chose english why but then it be very confusing why the nice alien that apparently want to save the earth from the virus send their do not open message encode and finally the end be as open a an end can be.the movie be a little entertaining but too much energy from me must be divert to fill in the void in the plot therefore the total impression of the movie be not too good./,positive
this movie feature charlie spradling dancing in a strip club beyond that it feature a truly bad script with dull unrealistic dialogue that it get a many positive vote suggest some people may be joke,neutral
